Name,Age,Height,Weight,ValueEUR,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Overall
L. Messi,34,170,72,78000000,Medium,Low,85,92,91,95,34,65,93
R. Lewandowski,32,185,81,119500000,High,Medium,78,92,79,85,44,82,92
Cristiano Ronaldo,36,187,83,45000000,High,Low,87,94,80,87,34,75,91
K. Mbappé,22,182,73,194000000,High,Low,97,88,80,92,36,77,91
J. Oblak,28,188,87,112000000,Medium,Medium,87,92,78,90,52,90,91
K. De Bruyne,30,181,70,125500000,High,High,76,86,93,88,64,78,91
Neymar Jr,29,175,68,129000000,High,Medium,91,83,86,94,37,63,91
N. Kanté,30,168,70,100000000,Medium,High,78,66,75,81,87,83,90
H. Kane,27,188,89,129500000,High,High,70,91,83,82,47,83,90
M. ter Stegen,29,187,85,99000000,Medium,Medium,88,85,88,90,45,88,90
M. Neuer,35,193,93,13500000,Medium,Medium,88,88,91,88,57,89,90
H. Son,28,183,78,104000000,High,High,88,87,82,86,43,69,89
Casemiro,29,185,84,88000000,High,High,65,73,76,72,86,90,89
K. Benzema,33,185,81,66000000,Medium,Medium,76,86,81,87,39,77,89
T. Courtois,29,199,96,85500000,Medium,Medium,84,89,74,88,48,86,89
S. Mané,29,175,69,101000000,High,Medium,91,83,80,90,44,77,89
V. van Dijk,29,193,92,86000000,Medium,Medium,78,60,71,71,91,84,89
G. Donnarumma,22,196,90,119500000,Medium,Medium,91,83,79,90,53,85,89
M. Salah,29,175,71,101000000,High,Medium,90,87,81,90,45,75,89
Ederson,27,188,86,94000000,Medium,Medium,87,82,93,88,63,88,89
J. Kimmich,26,177,75,108000000,High,Medium,70,73,86,84,83,79,89
Alisson,28,191,91,82000000,Medium,Medium,86,86,84,89,51,90,89
R. Lukaku,28,191,94,93500000,Medium,Medium,84,87,74,78,39,83,88
Sergio Ramos,35,184,82,24000000,High,Medium,70,70,76,73,88,84,88
L. Suárez,34,182,83,44500000,High,Medium,72,90,82,83,47,83,88
